angle,power,0_x,0_y,1_x,1_y,2_x,2_y,3_x,3_y,4_x,4_y,5_x,5_y,6_x,6_y,7_x,7_y,8_x,8_y,9_x,9_y,10_x,10_y,11_x,11_y,12_x,12_y,13_x,13_y,14_x,14_y,15_x,15_y,score
0.0,14.975417752990818,850.0,450.0,1275.0,450.0,1306.5,432.0,1306.5,468.0,1338.0,414.0,1338.0,450.0,1338.0,486.0,1369.5,396.0,1369.5,432.0,1369.5,468.0,1369.5,504.0,1401.0,378.0,1401.0,414.0,1401.0,450.0,1401.0,486.0,1401.0,522.0,0.4778370616939124
27.54965252101282,15.131630014289275,1201.6001,438.4237,1213.6028,609.8339,1211.2692,198.8085,1227.3831,662.5829,1322.7325,378.2741,1321.995,465.6894,1274.9234,631.8855,1388.6204,373.0255,1390.8318,410.8092,1341.2128,518.5716,1315.4683,640.4665,1218.6302,93.3194,1538.6851,248.7936,1465.266,385.115,1581.3402,434.7834,1387.3808,760.7357,0.4818575002049047
-24.686628228647674,14.944581300271158,1149.7293,382.6342,1213.6028,609.8339,1211.2692,198.8085,971.9748,787.7174,1322.7325,378.2741,1450.9896,503.6358,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1272.4824,597.5519,1278.1116,778.1652,1218.6302,93.3194,1544.902,200.716,1385.198,273.6519,1581.3402,434.7834,1496.3164,761.1981,0.495785032567013
52.156054144509625,11.520279834639723,1319.6992,333.6857,1205.0042,654.8731,1211.2692,198.8085,971.9748,787.7174,1207.1748,578.1126,1450.9896,503.6358,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1272.4824,597.5519,1278.1116,778.1652,1218.6302,93.3194,1405.7034,303.7047,905.6971,336.8628,1581.3402,434.7834,1496.3164,761.1981,0.49855973841035595
-165.5102188930236,15.017659824473567,1439.524,474.5286,1113.3545,695.8243,1211.2692,198.8085,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,1218.6302,93.3194,1405.7034,303.7047,905.6971,336.8628,1581.3402,434.7834,1237.3922,641.4456,0.495899030222218
-162.5016611290142,12.32948282043713,938.7322,343.8034,1113.3545,695.8243,1211.2692,198.8085,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,1218.6302,93.3194,1405.7034,303.7047,178.0365,105.2635,1581.3402,434.7834,1237.3922,641.4456,1.4999857946365511
6.196606253222791,12.95869226417103,217.9303,107.993,1113.3545,695.8243,1211.2692,198.8085,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,1218.6302,93.3194,1405.7034,303.7047,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.44156077374538927
-17.075691319463175,12.347072957381597,1245.2163,356.0792,1113.3545,695.8243,1455.3356,76.9021,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1323.6609,81.0364,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,1218.6302,93.3194,1405.7034,303.7047,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.49907379566227067
-167.37382211332076,15.036832692363223,1418.7975,409.3055,1113.3545,695.8243,1455.3356,76.9021,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,804.4501,267.8695,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.4993374157409752
17.986573022489257,15.00348062402889,789.1873,381.2146,1113.3545,695.8243,1455.3356,76.9021,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1170.7964,511.6177,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,164.8586,171.0214,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.44426970844868274
117.92120858308,14.91818991566584,1217.9902,325.9326,1113.3545,695.8243,1455.3356,76.9021,971.9748,787.7174,1207.1748,578.1126,1607.7017,624.1281,1118.2523,636.0905,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,164.8586,171.0214,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.49133975166693966
-144.71999960814242,14.91442638711538,1010.4622,779.3974,1113.3545,695.8243,1455.3356,76.9021,469.7672,104.1436,1207.1748,578.1126,1607.7017,624.1281,1118.2523,636.0905,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,164.8586,171.0214,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,1.4995812478125017
19.779084932168885,15.010227738997374,115.3857,272.0554,1113.3545,695.8243,1455.3356,76.9021,469.7672,104.1436,1207.1748,578.1126,1607.7017,624.1281,1118.2523,636.0905,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,-1,-1,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.49278452245546667
-35.449525910971246,15.07331627143953,1094.3524,586.7313,1113.3545,695.8243,1455.3356,76.9021,469.7672,104.1436,1207.1748,578.1126,1607.7017,624.1281,1531.8645,830.1845,1237.8748,68.2003,1451.6537,428.2369,1243.836,475.7838,1278.1116,778.1652,-1,-1,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,1.4988018487438417
-58.08015874063372,15.045150692716087,1335.0032,614.7235,1113.3545,695.8243,1455.3356,76.9021,469.7672,104.1436,1207.1748,578.1126,1607.7017,624.1281,1531.8645,830.1845,1237.8748,68.2003,1451.6537,428.2369,-1,-1,1278.1116,778.1652,-1,-1,1361.5384,69.3558,-1,-1,1581.3402,434.7834,1237.3922,641.4456,0.4985984903010809
